D,F,T
79.705,1.775,600.0
91.6,2.1,600.0
94.6,2.4,600.0
97.4675,2.65,600.0
98.835,2.8,600.0
100.2025,2.95,600.0
102.36,3.225,600.0
103.94,3.475,600.0
104.6,3.75,600.0
104.47,3.9,600.0
104.34,4.05,600.0
53.89,1.4,900.0
63.6925,1.525,900.0
73.495,1.65,900.0
93.1,1.9,900.0
95.07375,2.1,900.0
97.0475,2.3,900.0
99.02125,2.4,900.0
100.995,2.5,900.0
101.46875,2.65,900.0
101.429375,2.95,900.0
102.89,3.1,900.0
104.52,3.35,900.0
105.335,3.475,900.0
106.15,3.6,900.0
105.27,3.75,900.0
103.51,4.05,900.0
102.63,4.2,900.0
68.47,1.525,1200.0
77.68,1.65,1200.0
86.89,1.775,1200.0
98.5475,2.1,1200.0
100.995,2.3,1200.0
105.47,2.65,1200.0
105.05,2.8,1200.0
105.05,3.225,1200.0
105.89,3.35,1200.0
105.94,3.75,1200.0
104.31,3.9,1200.0
102.68,4.05,1200.0
9.785,1.65,2.0
72.9675,2.95,2.0
81.6575,3.75,2.0
24.69,1.775,6.0
45.2825,2.3,6.0
87.18,3.475,6.0
89.865,3.9,6.0
50.255,2.1,10.0
92.625,3.35,10.0
97.2575,4.05,10.0
22.35,1.525,15.0
85.81,2.8,15.0
92.86375,3.225,15.0
96.85,3.75,15.0
76.6225,2.4,20.0
85.8875,2.65,20.0
96.785,3.475,20.0
37.5475,1.65,25.0
66.415,2.1,25.0
88.10125,2.95,25.0
98.50875,4.05,25.0
28.39,1.525,30.0
74.945,2.3,30.0
98.52,3.9,30.0
57.7475,1.775,45.0
87.23375,2.65,45.0
94.86375,3.225,45.0
98.37625,3.75,45.0
38.735,1.525,60.0
91.6275,2.95,60.0
95.995,3.35,60.0
79.69625,2.1,120.0
88.98375,2.65,120.0
97.665,3.475,120.0
99.83625,4.05,120.0
60.525,1.65,180.0
86.63,2.4,180.0
100.15,3.9,180.0
73.24875,1.775,270.0
94.025,2.8,270.0
99.0225,3.35,270.0
101.0075,3.75,270.0
89.21,2.3,360.0
98.0,2.95,360.0
100.42,3.225,360.0
103.735,4.05,360.0
57.39,1.525,480.0
92.6025,2.4,480.0
95.73375,2.65,480.0
102.6,3.475,480.0
69.31,1.65,600.0
93.1,2.3,600.0
103.15,3.35,600.0
83.2975,1.775,900.0
101.9425,2.8,900.0
103.705,3.225,900.0
104.39,3.9,900.0
103.4425,2.4,1200.0
104.63,2.95,1200.0
106.73,3.475,1200.0
